original,abbreviation,count
perversity,perv,1
confounds,confnds,1
stimulate,stmlate,1
benchmarks,bchmark,1
puckered,pckrd,1
gingerbread,gingrbr,1
stakeholder,stkhldr,1
pessimists,pessimists,1
practiced,prctcd,1
industrial,ndstrl,1
instrumentation,instrumntation,1
deliberation,dlibatn,1
fossilized,foslizd,1
psychedelic,psych,1
heroines,Hrons,1
extracurricular,excurr,1
incidences,Incdncs,1
precipice,presipis,1
flinging,flingg,1
seabrook,seabrk,1
instructional,instnal,1
dogmatic,dgmtc,1
substandard,SUBST,1
wanderings,wndrngs,1
individualistic,indvduallistc,1
experiments,expnts,1
presumed,prsmd,1
deployed,dplyd,1
strutted,strtd,1
scrawled,scr,1
formulae,4mula,1
ministerial,ministrl,1
paparazzi,pprzi,1
rottweiler,rttweilr,1
benefactors,bnfctrs,1
exploration,exploration,1
pullover,pulovr,1
readable,Readble,1
catalina,catal'a,1
intrepid,intrpd,1
brighten,brigtn,1
multitude,mtd,1
professorial,prfssrial,1
mechanized,mech,1
restrained,strained,1
connelly,cnly,1
rockland,rl,1
inspiring,inspirin,1
fastballs,fstbls,1
journalists,JNST,1
concentrate,cnctrte,1
monolithic,mnlthc,1
disabled,dsbld,1
autopsies,autpse,1
adventurers,adventu,3
enrollments,enroll,1
insistent,insistnt,1
academically,acadclly,1
transmissions,trnsmss,5
detected,DETCTD,1
molested,mlstd,1
philippine,philpn,1
antarctica,ANTCA,1
appreciating,appr,1
homemaker,homemkr,1
empirically,emprcly,1
integrate,Intgrt,1
communicator,commctr,3
numerical,numrcal,1
opposition,oppostn,5
deranged,der'd,1
wachovia,wchovia,1
repentance,Reptnce,1
immobile,immob,1
victorian,vctrn,1
imparting,mprtng,1
trustworthy,tstwty,5
otherwise,othrws,1
formulating,frmltng,1
freelance,frlance,1
atmospheric,astmphrc,1
staunchest,staunch'st,1
mechanically,mechly.,1
egregious,egreg,1
unequivocally,Uneqivcly,1
colonization,colon,1
explicitly,xplct,1
typology,typlgy,1
empowering,empwring,1
escalated,escltd,1
playgrounds,PLAY,1
displaced,Displc,1
truthful,truthfl,1
traditionalists,trad'ists,1
chesapeake,chesapeak,1
diocesan,diocesn,1
reassuring,Ressring,1
authoritarian,authtarin,1
credentials,credntls,1
forestall,frstl,1
graduation,gradtn,4
molinari,mlnri,1
concerto,cncrto,1
schoolchildren,shlchilden,3
