original,abbreviation,count
perversity,perv,1
stimulate,stmlate,1
puckered,pckrd,1
practiced,prctcd,1
industrial,ndstrl,1
instrumentation,instrumntation,1
fossilized,foslizd,1
heroines,Hrons,1
extracurricular,excurr,1
flinging,flingg,1
instructional,instnal,1
dogmatic,dgmtc,1
individualistic,indvduallistc,1
experiments,expnts,1
presumed,prsmd,1
deployed,dplyd,1
strutted,strtd,1
ministerial,ministrl,1
paparazzi,pprzi,1
rottweiler,rttweilr,1
exploration,exploration,1
catalina,catal'a,1
intrepid,intrpd,1
brighten,brigtn,1
multitude,mtd,1
professorial,prfssrial,1
mechanized,mech,1
restrained,strained,1
connelly,cnly,1
fastballs,fstbls,1
monolithic,mnlthc,1
disabled,dsbld,1
adventurers,adventu,3
enrollments,enroll,1
academically,acadclly,1
transmissions,trnsmss,5
molested,mlstd,1
appreciating,appr,1
homemaker,homemkr,1
empirically,emprcly,1
integrate,Intgrt,1
communicator,commctr,3
numerical,numrcal,1
opposition,oppostn,5
deranged,der'd,1
wachovia,wchovia,1
repentance,Reptnce,1
immobile,immob,1
victorian,vctrn,1
imparting,mprtng,1
trustworthy,tstwty,5
formulating,frmltng,1
freelance,frlance,1
atmospheric,astmphrc,1
staunchest,staunch'st,1
mechanically,mechly.,1
egregious,egreg,1
unequivocally,Uneqivcly,1
colonization,colon,1
explicitly,xplct,1
empowering,empwring,1
playgrounds,PLAY,1
displaced,Displc,1
traditionalists,trad'ists,1
chesapeake,chesapeak,1
diocesan,diocesn,1
reassuring,Ressring,1
authoritarian,authtarin,1
forestall,frstl,1
graduation,gradtn,4
molinari,mlnri,1
concerto,cncrto,1
schoolchildren,shlchilden,3
harmonica,hrmnca,1
carmaker,crmkr,1
tradeoff,trdoff,1
ordnance,odnc,1
dissolving,dsvng,1
kennedys,kenndys,1
interdependent,ntrdpdnt,2
industrialized,ind.,1
trustworthy,trstwthy,1
passageway,Pasagwy,1
implanting,impl'g,1
enforcing,enfrcing,1
trumpeter,trmptr,1
provided,providd,1
educationally,educati,5
circumstance,crnmstn,5
burlesque,brles,1
librarians,librs,1
eminently,emntly,1
interstellar,intrstl,12
homophobia,homofobia,1
bureaucrats,brcrts,1
expiring,exp'ng,1
newtonian,newt'n,1
congresswoman,cngswom,1
constitution,const,10
coalition,Cltn,1
injurious,injrs,1
lightweight,ltwght,1
evacuees,evacs,1
umbilical,Umbcl,1
discovers,d'vers,1
schoolmates,schlmts,1
panoramic,pnrmc,1
scripted,scrpted,1
rockdale,r'dale,1
marketing,keting,1
silenced,slncd,1
conductors,cdtrs,1
thievery,thvry,1
expeditions,expdtns,4
standing,stnding,1
locomotive,lcmtv,2
obligatory,oblgy,1
congresswoman,cngrswmn,1
suspensions,sspnsn,1
mulberry,Mubrry,1
obituary,obit,1
disposed,dspsd,1
nationalize,national,1
dwellers,dwlrs,1
underlies,ndrls,1
jacksons,jacksns,1
thermonuclear,thermnuc,1
professor,prof,1
stragglers,strglrs,1
decentralized,decentr,6
mcfadden,Faden,1
screenwriters,scrnwrtrs,1
kilometers,Km,1
internationally,internat.,1
nightlife,ntlif,1
shanghai,shnghai,1
distributors,distrbtors,1
retailers,retlrs,1
crackdown,crckdn,1
tightest,t.est,1
impulsively,imp'ly,1
bleaching,blechng,1
professors,prof,8
squadrons,sqrdrns,1
blackmail,blckml,1
kindergarten,kndrgrt,3
inspected,nspctd,1
manipulation,mnpltn,2
distracting,distraking,1
accelerating,acclg,1
attendees,attndees,1
circulation,cilat,1
popularly,pop,1
photogenic,Phtgnic,1
unsurprising,unsrprsng,1
fulfills,ffills,1
wrestlers,Wrestlr,1
totalizing,ttlzng,1
reconstitute,recon,1
restless,rtls,1
undergraduates,undergdts,1
convened,Cvd,1
splitting,splttng,1
socialization,Socilztn,1
brochure,brchr,1
antiaircraft,ntiarcrft,1
graphically,grfly,1
comprehensive,wide,1
nonreligious,nonrel,1
nonproliferation,nonprolif,1
gigantic,ggntc,1
seconded,scondd,1
interdependent,intdpnt,1
ironically,irncally,1
pineapples,pnapp,1
sidekick,sdkck,1
coherently,chrnty,1
colonization,clnoztion,1
virginity,virgnat,1
unpacking,Unpkgn,1
oxidation,oxidatn,1
electrical,electri,2
unpleasantness,unplsnt.,1
panelists,pnlsts,1
figuring,fig'ng,1
honoring,honrng,1
sacrilege,s'ledge,1
exploration,xplration,2
graduates,duates,1
acceleration,accel,4
bristling,brstlng,1
eyelashes,ilashs,1
independents,indie,1
sorbonne,srbn,1
passersby,passrby,1
khamenei,kha,1
reiterated,reitrtd,1
drunkenly,drnknly,1
relentless,rltlls,1
gratuitous,grtts,1
correspondents,corres'pts,1
academically,acadlly,3
unreliable,urliab,1
deflecting,Dflectin,1
hurrying,hryg,1
incredibly,incre,1
crystals,crystal,1
measurements,measrmnts,4
paranoid,prnd,1
rivalries,rivlrs,1
approvingly,apprvngly,1
instances,instcs,1
recognised,Regnisd,1
honorable,hnrble,1
manipulation,manption,1
sartorial,srtrl,1
caltrans,c-trans,1
colonization,colniztn,2
impregnated,imprgntd,1
childcare,chldcr,1
jurisprudence,jurispr,7
acceleration,pelt,5
realization,realztn,1
schoolchildren,schchln.,1
fleischer,flishr,1
emissaries,emsss,1
frenchmen,frnchmn,1
liberate,lbrat,1
detective,dtctv,1
extracurricular,xtracular,5
impersonating,mprsntng,1
carefree,crfre,1
underlining,underlin,1
foodborne,fdbrne,1
ferociously,Ferocisly,1
relinquished,rlnqshd,1
bestselling,bstselln,1
warriors,wariors,1
terrible,terbl,1
multifaceted,multfactd,4
dismounted,Dsmntd,1
atmospheric,atmosphrc,1
geopolitical,geopolit,1
manufacture,mftr,2
hangovers,hngvrs,1
enrollments,enrllmn,2
experiments,experim,5
blackberry,Blkbry,1
faltered,fltred,1
thunderbolt,thndrblt,1
somberly,smbrly,1
metaphorically,mtafrcly,1
observatory,obsrty,1
stalling,stalng,1
confines,Confnes,1
tributes,trbts,1
repulsed,rplsed,1
compartment,cmprtmnt,2
itineraries,itnrs,1
uplifted,upliftd,1
bedeviled,bdvld,1
untapped,untapp'd,1
lifelike,lflk,1
emperors,wmprs,1
unfaithful,nfathfl,1
conceived,cncvd,1
vocational,vocal,1
profiling,profl'ng,1
reloading,rld,1
enrollments,enrlmnts,7
headdresses,hdrss,1
geologically,geolcly,1
oceanography,ocgpy,1
judicial,jdcl,1
parliamentary,parliamntry,2
fillmore,filmo,1
perpetuity,prptuty,1
perennial,prnl,1
stretcher,strchr,1
briefcase,brfcs,1
treaties,tretz,1
ethicist,ethst,1
secondary,scndary,1
unabated,unbtd,1
camcorders,camcdrs,1
industrialized,indtlzed,2
democratization,democratiz,1
exploration,explrtn,6
shortcuts,shrtcts,1
meteorological,mtrlgcl,14
inflammation,inflamm,1
stifling,stflng,1
verdicts,verd,1
evidentiary,evidntry,1
instructional,instrctional,2
misusing,msusng,1
declaring,dclrng,1
instinctual,instc,1
socialization,sociali,15
cumulative,cumltve,1
squatted,sqtd,1
musician,mscn,1
phonograph,phngrph,1
folklore,flklr,1
foolproof,flpr,1
meredith,mrdth,1
applicability,aplb,1
interpreted,ntrprtd,1
decentralized,dcntrlz,5
industrialized,indstrlzd,2
supersonics,supsnic,1
collisions,collis,1
dateline,Dateln,1
involving,invlvng,1
blockades,b'ades,1
mechanically,mechani,4
undertaking,udtkg,1
astronomer,astrnmr,1
parliamentary,prlmntr,12
scrubbing,scrbbin,1
benighted,bkgtd,1
gymnasts,gymnsts,1
manipulated,manpltd,1
automotive,automtv,2
confiscate,cnfscte,1
encircling,Ncrclng,1
currency,crrncy,1
preparations,preps,1
congresswoman,congressw,1
salutary,sltry,1
ultralight,ultrlgt,1
sixteenth,sxtnth,1
screamed,scrmd,1
circumstance,circstnce,1
victorious,viktorus,1
internationally,intnly,7
experiments,expts,1
combustion,comb,6
falsetto,flsto,1
inauguration,ingrtn,1
beckoned,beknd,1
urbanized,urbnzd,1
thriller,riller,1
treeless,3less,1
combustion,comstion,1
bragging,brgng,1
narrator,na'tor,1
stapleton,stpltn,1
legendary,legy,1
squandering,sqndrng,1
mailings,mlngs,1
allowance,lllwnce,1
breakaway,brkwy,1
grandeur,grndur,1
acceleration,acc.,1
exasperated,Exaspratd,1
smithsonian,smthsnn,1
suggestively,sggstvely,1
neurology,neuro,1
princeton,prnceton,1
remember,Rmbr,1
murderous,mderous,1
pancreatic,pncretc,1
guidebook,gdebook,1
educationally,edctnlly,1
constellations,cnstlatn,1
housekeeping,h'keeping,1
manufacturing,manring.,1
nationals,nationls,1
symbiotic,symbiotc,1
atmospheric,atmospheric,2
bestseller,bstsllr,1
experiments,exmts,2
enveloping,envlpng,1
constitute,constoot,1
challenger,chalengr,1
flattened,flattnd,1
operative,op've,1
obedient,obnt,1
enrollments,nrlmnts,1
multimillionaire,MUTMIL,1
wisecracking,wisec'kng,1
geopolitical,geopo,2
interstellar,inst,1
insurgencies,insrgs,1
militancy,mltancy,1
flopping,flppng,1
belittling,blttlng,1
illusion,illusn,1
helpings,hlpns,1
modulate,mdlate,1
horsepower,horsepo,1
unfinished,ufsd,1
socialization,socilzatn,2
regrettably,rgrtbly,1
internationally,intly,1
explorations,explor,2
march/april,mar/apr,1
accelerating,acclting,4
expeditions,xped,4
audiovisual,audivsl,1
mechanical,mechncl,1
binocular,Binculr,1
congregations,congratons,1
academically,academi,5
demonstrate,d'strate,1
industrialized,indlized,3
approach,apprch,1
trustworthy,tswy,1
uncannily,uncnnly,1
samuelson,samlsn,1
unscheduled,nshdled,1
showplace,Shwplce,1
internationally,internly,1
comprehension,comp.,1
proprietary,Proppy,1
ominously,omi,1
theological,tlogical,1
industrial,indtrial,4
astrophysicists,asphys,1
planners,plnnrs,1
channing,Chnng,1
stratosphere,stra,1
interstellar,instlr,2
alternating,altnt,1
emissary,emss,1
villainous,vllns,1
appetizing,Apptzng,1
compartment,compart,5
compartment,compartment,1
obsidian,obs,1
manipulation,manplton,1
strangest,strangy,1
attaining,Atning,1
experiments,exper,6
extracurricular,xtrcrriculr,3
mounting,mntng,1
transmits,trnmts,1
propeller,prplr,1
echelons,Echlons,1
shatters,shtrs,1
sterling,strlng,1
auerbach,aurbsh,1
rezoning,zoning,1
iroquois,irqus,1
terrance,trnce,1
congresswoman,congrss,1
showering,shwrg,1
personas,p'snas,1
distinctive,dstnctv,1
slithering,Slthrng,1
confession,cnfssn,1
pathetic,pthetic,1
adventurers,advntrs,11
